phase,angle_label,depth_left_m,depth_right_m,l1,cosine_distance,js_divergence,freq_l1
spiral,corner_neg_neg,1.0,3.0,5.633671389659867e-05,0.43773841857910156,0.1678088754415512,0.0033610311802476645
spiral,corner_neg_neg,3.0,5.0,5.811576556880027e-05,0.4500432014465332,0.1765041947364807,0.0029150890186429024
spiral,corner_neg_neg,5.0,7.0,5.8679266658145934e-05,0.46174538135528564,0.18125075101852417,0.0022927401587367058
spiral,corner_neg_neg,7.0,10.0,6.0717495216522366e-05,0.48328840732574463,0.19063866138458252,0.002968098735436797
spiral,corner_neg_pos,1.0,3.0,5.640763629344292e-05,0.4385450482368469,0.1682053506374359,0.0033682165667414665
spiral,corner_neg_pos,3.0,5.0,5.819171201437712e-05,0.4510307312011719,0.1768016517162323,0.0029435630422085524
spiral,corner_neg_pos,5.0,7.0,5.8694189647212625e-05,0.462041974067688,0.18129651248455048,0.0022925250232219696
spiral,corner_neg_pos,7.0,10.0,6.075633427826688e-05,0.48360246419906616,0.19077427685260773,0.002963913604617119
spiral,corner_pos_neg,1.0,3.0,5.6377597502432764e-05,0.4381610155105591,0.16801699995994568,0.0033758659847080708
spiral,corner_pos_neg,3.0,5.0,5.81570238864515e-05,0.45091062784194946,0.17671266198158264,0.0029205624014139175
spiral,corner_pos_neg,5.0,7.0,5.8741359680425376e-05,0.46221959590911865,0.18148207664489746,0.002289649797603488
spiral,corner_pos_neg,7.0,10.0,6.072682299418375e-05,0.48318690061569214,0.19071818888187408,0.0029768922831863165
spiral,corner_pos_pos,1.0,3.0,5.644950215355493e-05,0.4389559030532837,0.16841870546340942,0.0033901678398251534
spiral,corner_pos_pos,3.0,5.0,5.824339314131066e-05,0.4519943594932556,0.17705625295639038,0.0029418941121548414
spiral,corner_pos_pos,5.0,7.0,5.875803981325589e-05,0.46254605054855347,0.18152843415737152,0.00229745008982718
spiral,corner_pos_pos,7.0,10.0,6.076857971493155e-05,0.4835284948348999,0.19085192680358887,0.0029704219195991755
spiral,x_neg_edge,1.0,3.0,5.2713992772623897e-05,0.4018455743789673,0.14769519865512848,0.0019511055434122682
spiral,x_neg_edge,3.0,5.0,5.3656673117075115e-05,0.4189331531524658,0.1540386974811554,0.0013450065162032843
spiral,x_neg_edge,5.0,7.0,5.3486313845496625e-05,0.4097799062728882,0.146118625998497,0.0006396914832293987
spiral,x_neg_edge,7.0,10.0,5.827147833770141e-05,0.4675403833389282,0.17428362369537354,0.0008205156191252172
spiral,x_pos_edge,1.0,3.0,5.266308653517626e-05,0.4005853533744812,0.14810293912887573,0.001957429340109229
spiral,x_pos_edge,3.0,5.0,5.4160260333446786e-05,0.4224579930305481,0.1569599211215973,0.001337686786428094
spiral,x_pos_edge,5.0,7.0,5.3748965001432225e-05,0.4124789237976074,0.14809685945510864,0.0006396789103746414
spiral,x_pos_edge,7.0,10.0,5.8095658459933475e-05,0.4662817120552063,0.173915296792984,0.000824565242510289
spiral,y_neg_edge,1.0,3.0,5.2713945478899404e-05,0.4019104242324829,0.14772957563400269,0.0019451702246442437
spiral,y_neg_edge,3.0,5.0,5.366031837183982e-05,0.4189719557762146,0.15404541790485382,0.0013513396261259913
spiral,y_neg_edge,5.0,7.0,5.352536391001195e-05,0.4103352427482605,0.14631202816963196,0.0006413343944586813
spiral,y_neg_edge,7.0,10.0,5.828447319800034e-05,0.4678243398666382,0.17435625195503235,0.0008239333983510733
spiral,y_pos_edge,1.0,3.0,5.2661118388641626e-05,0.40053266286849976,0.148067444562912,0.0019633984193205833
spiral,y_pos_edge,3.0,5.0,5.415586201706901e-05,0.42243868112564087,0.15695616602897644,0.0013326707994565368
spiral,y_pos_edge,5.0,7.0,5.3710838983533904e-05,0.4119156002998352,0.14789807796478271,0.0006415387615561485
spiral,y_pos_edge,7.0,10.0,5.8087403886020184e-05,0.46601027250289917,0.17384755611419678,0.0008234870037995279
double_helix,center,1.0,3.0,3.128886964987032e-05,0.19940310716629028,0.06899268925189972,0.0013389730593189597
double_helix,center,3.0,5.0,1.6230902474489994e-05,0.06258130073547363,0.022814661264419556,0.0014858096837997437
double_helix,center,5.0,7.0,1.2045290112561169e-11,3.5762786865234375e-07,-2.6149185039514578e-09,1.2018568362748283e-09
double_helix,center,7.0,10.0,1.3039035129391863e-11,3.5762786865234375e-07,-1.0229825875285314e-09,1.2019960582421163e-09
double_helix,corner_neg_neg,1.0,3.0,5.60046719328966e-05,0.43284016847610474,0.16488830745220184,0.003414260223507881
double_helix,corner_neg_neg,3.0,5.0,5.831006637890823e-05,0.46012938022613525,0.1767919659614563,0.002844766015186906
double_helix,corner_neg_neg,5.0,7.0,6.008717537042685e-05,0.47339075803756714,0.1857140213251114,0.0021869379561394453
double_helix,corner_neg_neg,7.0,10.0,5.950265403953381e-05,0.45947641134262085,0.18658649921417236,0.0026170839555561543
double_helix,corner_neg_pos,1.0,3.0,5.5962045735213906e-05,0.43769776821136475,0.1669876128435135,0.003458581864833832
double_helix,corner_neg_pos,3.0,5.0,5.746586975874379e-05,0.44316351413726807,0.17178404331207275,0.0032202748116105795
double_helix,corner_neg_pos,5.0,7.0,5.730961129302159e-05,0.43611323833465576,0.16902552545070648,0.002568827010691166
