phase,fov_deg,fov_definition,angle_label,angle_x_deg,angle_y_deg,depth_m,aperture_mm,metasurface_sensor_distance_mm,wavelength_nm,grid,grid_size_mm,dx_um,sensor_pixel_pitch_um,psf_grid,phase_max_step_rad,full_psf_sum,crop_energy_ratio,psf_sum,psf_min,psf_max,centroid_x_px,centroid_y_px,peak_x_px,peak_y_px,second_moment_radius_px
lens,90.0,per_axis_square,x_neg_edge,-45.0,0.0,10.0,3.0,10.0,590.0,512,6.0,11.71875,2.4,128,18.437744140625,257.1649169921875,0.3107281784975993,1.000000238418579,8.176036236928752e-12,0.02118724025785923,62.335758209228516,63.99610900878906,42,21,50.56090545654297
lens,90.0,per_axis_square,x_pos_edge,45.0,0.0,10.0,3.0,10.0,590.0,512,6.0,11.71875,2.4,128,18.437744140625,257.1649169921875,0.3103153280375185,1.0000001192092896,8.185439305530284e-12,0.021215427666902542,64.36154174804688,63.99620056152344,86,21,50.49529266357422
lens,90.0,per_axis_square,y_neg_edge,0.0,-45.0,10.0,3.0,10.0,590.0,512,6.0,11.71875,2.4,128,18.437744140625,257.1649169921875,0.3107281784975993,1.000000238418579,8.173765483898698e-12,0.021187234669923782,63.9961051940918,62.33576202392578,21,42,50.56090545654297
lens,90.0,per_axis_square,y_pos_edge,0.0,45.0,10.0,3.0,10.0,590.0,512,6.0,11.71875,2.4,128,18.437744140625,257.1649475097656,0.3103153208799422,1.0,8.187763834988093e-12,0.021215420216321945,63.99620056152344,64.36153411865234,21,86,50.49528884887695
lens,90.0,per_axis_square,corner_neg_neg,-45.0,-45.0,10.0,3.0,10.0,590.0,512,6.0,11.71875,2.4,128,18.437744140625,171.4432830810547,0.30550676517285474,0.9999998807907104,1.4349398336221952e-09,0.02231278456747532,59.817237854003906,59.817237854003906,17,17,51.24047088623047
lens,90.0,per_axis_square,corner_neg_pos,-45.0,45.0,10.0,3.0,10.0,590.0,512,6.0,11.71875,2.4,128,18.437744140625,171.4432830810547,0.2966636634436978,1.000000238418579,1.4776432299967723e-09,0.02297789417207241,59.93759536743164,66.06587219238281,17,111,50.70485305786133
lens,90.0,per_axis_square,corner_pos_neg,45.0,-45.0,10.0,3.0,10.0,590.0,512,6.0,11.71875,2.4,128,18.437744140625,171.4432830810547,0.2966637969466452,0.9999997019767761,1.4776806445127022e-09,0.022977884858846664,66.06587982177734,59.93760681152344,111,17,50.704856872558594
lens,90.0,per_axis_square,corner_pos_pos,45.0,45.0,10.0,3.0,10.0,590.0,512,6.0,11.71875,2.4,128,18.437744140625,171.4432830810547,0.28843908086958836,0.9999997019767761,1.519825376661288e-09,0.023633088916540146,66.01368713378906,66.01368713378906,111,111,50.22700500488281
random,90.0,per_axis_square,center,0.0,0.0,1.0,3.0,10.0,590.0,512,6.0,11.71875,2.4,128,,51432.93359375,0.3173697224487806,1.0,9.020931557301992e-09,0.0005690456018783152,63.525779724121094,63.27485656738281,22,41,52.162593841552734
random,90.0,per_axis_square,x_neg_edge,-45.0,0.0,1.0,3.0,10.0,590.0,512,6.0,11.71875,2.4,128,,25716.4921875,0.3193819642732913,1.000000238418579,3.840011419953271e-09,0.0004905074019916356,63.653602600097656,63.35072326660156,22,63,52.273494720458984
random,90.0,per_axis_square,x_pos_edge,45.0,0.0,1.0,3.0,10.0,590.0,512,6.0,11.71875,2.4,128,,25716.4921875,0.31841975571366987,1.000000238418579,2.372740448564059e-09,0.0005388733698055148,63.86941146850586,63.33247375488281,120,16,52.23893737792969
random,90.0,per_axis_square,y_neg_edge,0.0,-45.0,1.0,3.0,10.0,590.0,512,6.0,11.71875,2.4,128,,25716.4921875,0.3176360447499796,1.0,2.348542693653144e-09,0.0006288932054303586,63.57732391357422,63.364097595214844,31,93,52.131526947021484
random,90.0,per_axis_square,y_pos_edge,0.0,45.0,1.0,3.0,10.0,590.0,512,6.0,11.71875,2.4,128,,25716.4921875,0.31806733640954504,0.9999996423721313,7.917111410904454e-10,0.0005914834327995777,63.742218017578125,63.28996276855469,119,65,52.182373046875
random,90.0,per_axis_square,corner_neg_neg,-45.0,-45.0,1.0,3.0,10.0,590.0,512,6.0,11.71875,2.4,128,,17144.330078125,0.3176261637610922,1.0000003576278687,2.6236453010142213e-09,0.0006291534518823028,63.51824951171875,63.598106384277344,104,29,52.20246505737305
random,90.0,per_axis_square,corner_neg_pos,-45.0,45.0,1.0,3.0,10.0,590.0,512,6.0,11.71875,2.4,128,,17144.330078125,0.3200014194743912,1.0,2.9151756564260722e-09,0.000662882172036916,63.4532470703125,63.760597229003906,10,3,52.44290542602539
random,90.0,per_axis_square,corner_pos_neg,45.0,-45.0,1.0,3.0,10.0,590.0,512,6.0,11.71875,2.4,128,,17144.328125,0.31773320166928387,1.0000001192092896,5.526674229372475e-09,0.0005725448136217892,63.60353088378906,63.47615051269531,80,42,52.28224182128906
random,90.0,per_axis_square,corner_pos_pos,45.0,45.0,1.0,3.0,10.0,590.0,512,6.0,11.71875,2.4,128,,17144.330078125,0.31756316461676415,1.000000238418579,8.990403976838479e-09,0.0007649683975614607,63.659786224365234,63.8009033203125,112,28,52.297847747802734
random,90.0,per_axis_square,center,0.0,0.0,10.0,3.0,10.0,590.0,512,6.0,11.71875,2.4,128,,514.3298950195312,0.3178267300408068,1.0000001192092896,7.704344107128946e-11,0.000558278348762542,63.68983459472656,63.32704544067383,85,86,52.215457916259766
random,90.0,per_axis_square,x_neg_edge,-45.0,0.0,10.0,3.0,10.0,590.0,512,6.0,11.71875,2.4,128,,257.1649169921875,0.3170887931095863,1.000000238418579,2.747574612271819e-09,0.0007347812061198056,63.34199523925781,63.26899719238281,122,79,52.19149398803711
random,90.0,per_axis_square,x_pos_edge,45.0,0.0,10.0,3.0,10.0,590.0,512,6.0,11.71875,2.4,128,,257.1649169921875,0.31754113077593105,1.0,4.082739035737859e-09,0.0005406335694715381,63.17560577392578,63.36328887939453,13,82,52.2336311340332
